rank,gene,knockout_impact_score,module
1,BTG1,3.21153094343948,apoptosis
2,HIF1A,3.185068811149396,signalling
3,PRF1,3.1798222524785444,immune
4,RELL1,2.4610099356942,apoptosis
5,LRRC2,2.413749923591136,uncharacterised
6,KIAA1257,2.3567950442989924,uncharacterised
7,UBN1,2.302433599923612,epigenetic
8,AKNA,2.285507546815309,epigenetic
9,PIK3IP1,2.2042957263069605,signalling
10,CHSY1,2.157556269071593,metabolism
11,TREM1,2.142033905433758,immune
12,KIAA0087,2.139115925515107,apoptosis
13,JARID2,2.0496807208898606,epigenetic
14,TRIB1,2.0034253277122973,signalling
15,CASC2,1.9401496599234505,apoptosis
16,IGF2R,1.9264725455220293,signalling
17,RAF1,1.9254990212888,signalling
18,L2HGDH,1.9247034331698327,metabolism
19,AREG,1.915566054551861,immune
20,ZNF254,1.9143960719697484,epigenetic
21,HS3ST1,1.9120283991853115,uncharacterised
22,HAL,1.8222822219061428,metabolism
23,NCOA2,1.7985516931621224,epigenetic
24,RPS6KA5,1.7591300111726351,signalling
25,LOC400043,1.7452158832297604,uncharacterised
26,SERTAD2,1.7424277905495842,apoptosis
27,IRS2,1.7306282610641714,signalling
28,OCR1,1.7221344518099042,uncharacterised
29,CREM,1.7180965696050003,apoptosis
30,RASSF6,1.690212061396147,uncharacterised
31,FLJ11292,1.651341791622738,uncharacterised
32,COPA,1.646632829212158,uncharacterised
33,ATG2A,1.6430858308140863,uncharacterised
34,IL10,1.588107910899869,immune
35,GPR183,1.5531654985104797,uncharacterised
36,GVINP1,1.5192024174857344,uncharacterised
37,ARFGAP3,1.4996318689525932,uncharacterised
38,HMBOX1,1.4929431303677527,epigenetic
39,IKBKB,1.4865458744587228,signalling
40,EMR3,1.4494492608421683,immune
41,TRANK1,1.412867377339385,uncharacterised
42,PIM3,1.404953816537576,signalling
43,CASS4,1.3757431492495191,uncharacterised
44,KLRD1,1.336678445380996,immune
45,CYP1B1-AS1,1.3081730196462409,uncharacterised
46,DBIL5P2,1.3075416505522208,uncharacterised
47,PRDM8,1.299294478910992,epigenetic
48,LAMA5,1.293800111665929,uncharacterised
49,GM2A,1.2728731120805712,uncharacterised
50,PRKDC,1.254297446942488,uncharacterised
51,ADPRH,1.2523837597367662,metabolism
52,ZNF200,1.2337949566000608,uncharacterised
53,VNN3,1.226077180167948,metabolism
54,HLX,1.2167889374750998,uncharacterised
55,OTX1,1.2057092355459784,uncharacterised
56,LOC399900,1.1986415757766524,uncharacterised
57,PMFBP1,1.1860063422824894,uncharacterised
58,KIAA0319L,1.1822941957215505,uncharacterised
59,CCDC147,1.1588446529005556,uncharacterised
60,CD86,1.135491883006296,immune
61,MYBPH,1.1222528472354476,uncharacterised
62,RAPGEF2,1.118943187268408,signalling
63,JOSD1,1.11568301933639,uncharacterised
64,CD46,1.1023633027389352,uncharacterised
65,GK5,1.0676023972635384,uncharacterised
66,TMCC1,1.036060477131896,uncharacterised
67,LOC100506047,1.0058505969766258,uncharacterised
68,RHOU,1.0051950736390998,uncharacterised
69,PLCL1,0.999306530842518,uncharacterised
70,SNORA21,0.9987834809274972,uncharacterised
71,TOX4,0.9831409919335692,epigenetic
72,WSB1,0.9569843033827864,uncharacterised
73,SLC45A4,0.9509652721714256,metabolism
74,ZNF571,0.9188491854201666,uncharacterised
75,KCNK7,0.9184852171808304,uncharacterised
76,CHRNA10,0.915580438879151,uncharacterised
77,SLC1A3,0.9077398259404236,metabolism
78,GCLM,0.8855960538004274,metabolism
79,TPPP,0.87969995709004,uncharacterised
80,KHNYN,0.8641929149319525,uncharacterised
81,PLA2G7,0.8406770825728893,immune
82,PCGF3,0.8370144746146619,epigenetic
83,LOC389765,0.8323895275160671,uncharacterised
84,MERTK,0.8300223723931763,immune
85,ZNF253,0.8234056887171384,uncharacterised
86,TIGIT,0.813496541838356,immune
87,ADAM28,0.7627045653667749,uncharacterised
88,HRH2,0.7430306298232755,uncharacterised
89,SPATA2L,0.7377423098318455,uncharacterised
90,S1PR5,0.7366267023533567,immune
91,TGM3,0.7344256648107909,uncharacterised
92,TSIX,0.7307380025263778,uncharacterised
93,TMEM184B,0.7226608279433,uncharacterised
94,F11R,0.6531033798495129,uncharacterised
95,NR4A2,0.6451872321710272,apoptosis
96,PANX2,0.6385361671533965,uncharacterised
97,ACSL3,0.6210434471695352,metabolism
98,STAT5A,0.5853420222489351,signalling
99,AUTS2,0.5831322277649388,epigenetic
100,LOC100131043,0.5811492881856896,uncharacterised
101,SOCS3,0.5776658218645971,signalling
102,TRPV2,0.5715519027982695,immune
103,DHRSX,0.5519277744873275,uncharacterised
104,PDSS1,0.5466104695620142,uncharacterised
105,PARP16,0.5323946529803963,uncharacterised
106,KALRN,0.5317770702918047,uncharacterised
107,COL9A2,0.5292020386656476,uncharacterised
108,TNFRSF10D,0.5283988503580507,immune
109,SH3PXD2B,0.5271583775809816,uncharacterised
110,ITPKB-IT1,0.5233678466047441,uncharacterised
111,KIR3DL1,0.5172925228631078,immune
112,RPRD1A,0.5150892380056721,uncharacterised
113,PHF13,0.4903393482029988,epigenetic
114,SNAP23,0.4541225626334719,uncharacterised
115,PLEKHG3,0.4418365037967378,uncharacterised
116,NDST1,0.4287859009164241,uncharacterised
117,FCRL1,0.4184029297716876,immune
118,OVGP1,0.4090565613824012,uncharacterised
119,BTG2,0.4010731008592911,apoptosis
120,GRAMD1C,0.3871796778325079,metabolism
121,DUSP2,0.3871621494126482,signalling
122,HECW2,0.3785259831028767,uncharacterised
123,ZNF107,0.3750907596443762,uncharacterised
124,MARCKS,0.3706575679670072,signalling
125,NOV,0.3442793831452573,uncharacterised
126,CCDC19,0.3439340666065237,uncharacterised
127,IFRD1,0.3338621388271889,uncharacterised
128,RPGR,0.3304479699804676,uncharacterised
129,CTNS,0.3215197092491779,uncharacterised
130,LOC100507006,0.3168474318533301,uncharacterised
131,DNAJB1,0.3068550452724065,apoptosis
132,SIPA1L1,0.3030932104866146,uncharacterised
133,CAND1,0.2805685135624163,uncharacterised
134,AGFG1,0.2775570653035458,uncharacterised
135,SNRK,0.2762809924473171,uncharacterised
136,PPP1R12B,0.2761622144082484,signalling
137,RGL1,0.2755613985919595,signalling
138,PDE3B,0.2725469189546877,uncharacterised
139,DOCK4,0.2647351466149607,uncharacterised
140,VPS18,0.2623249238901938,uncharacterised
141,ARF3,0.2347188929764071,uncharacterised
142,GPR27,0.2270390844873567,uncharacterised
143,TKTL1,0.2157223182975017,metabolism
144,PTGDR,0.1941449812606144,uncharacterised
145,PDE4B,0.1925269442360604,uncharacterised
146,FUT6,0.1834507454080572,uncharacterised
147,FASLG,0.182005676086224,immune
148,ZNF230,0.1729828113105508,uncharacterised
149,PPP1R15A,0.1699860946919357,signalling
150,RNF122,0.161427019305177,uncharacterised
151,MCM9,0.1467692078951937,uncharacterised
152,TIGD3,0.1422515233872714,uncharacterised
153,PIK3R5,0.1395597554113163,immune
154,ACVR1B,0.1311660676461767,uncharacterised
155,DNMBP,0.1290481066606849,uncharacterised
156,FOSB,0.1173599202444443,apoptosis
157,SPAG9,0.1128857004538811,uncharacterised
158,KIR2DL2,0.1091173390977884,immune
159,CABLES2,0.1016698436675348,apoptosis
160,ABCG1,0.1009355184154962,metabolism
161,FRMD4B,0.0980521382870453,uncharacterised
162,RPGRIP1,0.0942958886789729,uncharacterised
163,CCDC146,0.0874765375899374,uncharacterised
